hour,day_of_week,is_weekend,is_rural,is_peak,distance_km,rain_factor,crowd_level,delay_minutes,eta_minutes
6,5,1,1,0,0.94,0.27,LOW,5.0,0.7
19,0,0,0,1,5.56,0.35,MEDIUM,12.9,12.2
14,4,0,1,1,6.25,0.5,HIGH,18.7,21.1
10,5,1,1,1,5.83,0.2,MEDIUM,15.2,12.7
7,3,0,0,1,6.03,0.29,HIGH,10.3,12.0
20,3,0,1,0,1.28,0.35,LOW,3.5,2.8
6,4,0,1,0,5.7,0.18,LOW,4.4,10.1
18,0,0,1,1,1.86,0.23,HIGH,17.4,5.7
22,3,0,0,0,1.24,0.37,LOW,7.2,1.5
10,2,0,1,1,6.18,0.17,MEDIUM,20.5,15.2
10,5,1,1,1,7.17,0.18,HIGH,16.8,18.0
23,4,0,1,0,5.88,0.32,LOW,2.9,8.4
20,1,0,1,0,6.54,0.1,LOW,2.6,9.0
3,1,0,0,0,7.93,0.23,LOW,6.8,11.4
7,0,0,1,1,1.51,0.12,HIGH,17.6,2.7
23,2,0,1,0,7.74,0.14,LOW,4.5,13.2
2,3,0,0,0,5.01,0.23,LOW,2.2,6.5
21,1,0,1,0,6.6,0.12,LOW,5.2,9.4
20,0,0,1,0,5.38,0.17,LOW,4.0,8.9
1,5,1,0,0,4.78,0.37,LOW,5.8,7.4
23,2,0,1,0,5.78,0.13,LOW,7.9,8.5
11,2,0,1,0,2.9,0.65,LOW,6.3,4.1
5,6,1,0,0,7.43,0.33,LOW,1.4,9.8
1,0,0,0,0,1.36,0.44,LOW,7.2,2.5
20,0,0,0,0,2.89,0.31,LOW,2.6,2.8
0,6,1,0,0,0.73,0.38,LOW,2.0,1.3
11,3,0,0,0,2.53,0.44,LOW,7.2,3.6
21,0,0,0,0,2.14,0.38,MEDIUM,5.4,2.6
11,6,1,0,0,0.87,0.19,LOW,2.8,1.5
16,3,0,1,1,4.19,0.43,HIGH,18.3,12.4
9,3,0,1,1,4.01,0.4,HIGH,19.5,9.3
15,4,0,0,1,1.08,0.41,HIGH,16.7,3.8
14,2,0,1,1,2.46,0.06,HIGH,16.7,6.6
14,5,1,1,1,7.65,0.15,HIGH,14.1,21.0
18,2,0,1,1,1.33,0.24,HIGH,13.3,6.3
11,2,0,1,0,2.79,0.31,LOW,6.5,6.4
22,4,0,1,0,0.77,0.42,LOW,4.3,1.4
19,3,0,0,1,1.62,0.33,MEDIUM,11.0,3.1
2,3,0,0,0,5.75,0.38,LOW,5.9,9.0
4,0,0,0,0,3.25,0.14,LOW,3.2,2.7
18,4,0,0,1,3.89,0.3,HIGH,12.7,9.0
6,0,0,1,0,1.68,0.17,LOW,3.7,1.9
20,4,0,1,0,5.62,0.43,LOW,8.4,9.1
8,0,0,1,1,6.14,0.22,HIGH,18.1,14.8
6,1,0,1,0,1.86,0.1,MEDIUM,2.0,3.0
17,6,1,1,1,0.84,0.42,HIGH,17.4,1.6
3,2,0,1,0,1.11,0.36,LOW,6.0,0.8
13,2,0,1,0,5.43,0.22,LOW,2.8,8.5
17,5,1,1,1,1.52,0.31,HIGH,19.1,3.9
8,6,1,0,1,4.2,0.26,HIGH,10.1,11.0
20,3,0,1,0,1.64,0.32,LOW,6.3,2.4
1,5,1,1,0,1.78,0.33,LOW,6.7,2.2
19,1,0,1,1,0.53,0.32,MEDIUM,17.9,0.5
14,5,1,1,1,2.91,0.18,HIGH,19.5,11.1
6,2,0,1,0,1.17,0.18,MEDIUM,1.4,1.1
11,3,0,1,0,3.45,0.27,LOW,4.0,6.9
7,1,0,1,1,4.98,0.15,HIGH,12.6,13.8
14,2,0,0,1,3.26,0.08,HIGH,12.2,6.9
2,6,1,1,0,5.79,0.31,LOW,4.2,10.5
13,0,0,0,0,6.06,0.24,LOW,9.3,8.6
16,4,0,0,1,5.72,0.44,MEDIUM,15.7,12.9
3,1,0,1,0,7.53,0.16,LOW,5.2,11.9
17,3,0,0,1,2.28,0.45,MEDIUM,16.1,4.4
7,5,1,1,1,1.92,0.18,MEDIUM,14.7,5.1
3,6,1,1,0,5.07,0.46,LOW,6.7,7.8
1,5,1,1,0,4.96,0.12,LOW,0.0,7.0
5,1,0,0,0,4.33,0.41,LOW,3.9,6.1
21,6,1,1,0,0.53,0.2,LOW,5.7,0.7
9,3,0,0,1,4.66,0.13,MEDIUM,15.0,9.3
3,1,0,0,0,7.5,0.16,LOW,7.8,10.3
21,3,0,0,0,3.01,0.17,LOW,3.5,5.0
17,5,1,1,1,7.76,0.11,MEDIUM,17.0,21.4
11,2,0,0,0,3.18,0.17,LOW,3.6,5.1
1,6,1,1,0,1.55,0.07,LOW,2.2,0.7
9,0,0,1,1,3.49,0.22,HIGH,21.1,10.4
3,2,0,0,0,4.21,0.34,LOW,3.3,8.4
13,0,0,0,0,5.22,0.11,LOW,3.0,7.9
15,5,1,1,1,4.29,0.08,HIGH,17.8,9.9
14,6,1,1,1,4.53,0.52,HIGH,14.2,14.5
7,2,0,1,1,0.68,0.47,HIGH,15.9,1.8
13,2,0,1,0,2.4,0.12,LOW,2.5,2.9
22,1,0,1,0,2.83,0.54,LOW,5.6,7.6
7,4,0,1,1,7.9,0.48,HIGH,19.3,19.5
20,5,1,1,0,2.72,0.49,LOW,6.0,4.1
15,3,0,0,1,7.22,0.53,HIGH,13.5,18.8
12,5,1,1,0,2.79,0.26,LOW,3.1,3.9
17,3,0,0,1,1.22,0.49,MEDIUM,13.3,4.8
14,6,1,0,1,2.36,0.14,HIGH,10.6,4.4
20,3,0,1,0,2.55,0.39,LOW,7.6,5.8
23,0,0,1,0,7.84,0.26,LOW,5.4,12.0
12,3,0,1,0,5.56,0.19,LOW,6.3,8.6
8,3,0,0,1,7.49,0.33,HIGH,9.1,14.3
14,1,0,1,1,6.76,0.7,HIGH,22.5,25.3
12,2,0,1,0,4.84,0.4,LOW,5.8,7.9
0,5,1,1,0,5.57,0.12,LOW,3.0,11.1
6,5,1,1,0,5.19,0.13,LOW,1.6,6.9
